Direction,DS,nu,PoE
X,DS1,0.4369359925712848,0.9999999996748712
X,DS2,0.19573061546537832,0.9999437964577262
X,DS3,0.06511920451546864,0.9614562078542734
X,DS4,0.06511920451546864,0.9614562078542734
Y,DS1,0.3264993857031346,0.9999999186877606
Y,DS2,0.3264993857031346,0.9999999186877606
Y,DS3,0.13818823505999703,0.9990016551028218
Y,DS4,0.11616382060681134,0.9969971427603065
