Sa,Probability
4.505548615150405944e-01,7.051451989446293478e-01
4.563932363399113012e-01,7.119262122574633311e-01
4.622316111647819525e-01,7.185479464892335910e-01
4.680699859896526038e-01,7.250136376827094331e-01
4.739083608145232551e-01,7.313265116406760802e-01
4.797467356393939064e-01,7.374897782234394183e-01
4.855851104642645577e-01,7.435066262534092418e-01
4.914234852891352090e-01,7.493802189771453515e-01
4.972618601140058603e-01,7.551136900389044948e-01
5.031002349388765671e-01,7.607101399231335215e-01
5.089386097637471629e-01,7.661726328265427988e-01
5.147769845886178697e-01,7.715041939233548973e-01
5.206153594134884655e-01,7.767078069900827941e-01
5.264537342383591723e-01,7.817864123587676684e-01
5.322921090632297680e-01,7.867429051699815767e-01
5.381304838881004748e-01,7.915801338991290681e-01
5.439688587129711816e-01,7.963008991316267160e-01
5.498072335378417774e-01,8.009079525644596798e-01
5.556456083627124842e-01,8.054039962133754393e-01
5.614839831875830800e-01,8.097916818066172029e-01
5.673223580124537868e-01,8.140736103476186036e-01
5.731607328373243826e-01,8.182523318304830706e-01
5.789991076621950894e-01,8.223303450933778791e-01
5.848374824870656852e-01,8.263100977961683746e-01
5.906758573119363920e-01,8.301939865097371918e-01
5.965142321368070988e-01,8.339843569054548045e-01
6.023526069616776946e-01,8.376835040342232030e-01
6.081909817865484014e-01,8.412936726853880165e-01
6.140293566114189971e-01,8.448170578166244171e-01
6.198677314362897040e-01,8.482558050466539878e-01
6.257061062611602997e-01,8.516120112033326306e-01
6.315444810860310065e-01,8.548877249202937456e-01
6.373828559109016023e-01,8.580849472759104479e-01
6.432212307357723091e-01,8.612056324688882603e-01
6.490596055606430159e-01,8.642516885252936598e-01
6.548979803855136117e-01,8.672249780322833779e-01
6.607363552103843185e-01,8.701273188942291181e-01
6.665747300352549143e-01,8.729604851073092808e-01
6.724131048601256211e-01,8.757262075490137576e-01
6.782514796849962169e-01,8.784261747793216113e-01
6.840898545098669237e-01,8.810620338506295335e-01
6.899282293347375195e-01,8.836353911237760927e-01
6.957666041596082263e-01,8.861478130877714632e-01
7.016049789844789331e-01,8.886008271810741377e-01
7.074433538093495288e-01,8.909959226124728460e-01
7.132817286342202356e-01,8.933345511798305161e-01
7.191201034590908314e-01,8.956181280851319704e-01
7.249584782839615382e-01,8.978480327444375853e-01
7.307968531088321340e-01,9.000256095915073473e-01
7.366352279337028408e-01,9.021521688739908562e-01
7.424736027585734366e-01,9.042289874412146045e-01
7.483119775834441434e-01,9.062573095227104414e-01
7.541503524083148502e-01,9.082383474967374859e-01
7.599887272331854460e-01,9.101732826481523375e-01
7.658271020580561528e-01,9.120632659150623711e-01
7.716654768829267486e-01,9.139094186237892714e-01
7.775038517077974554e-01,9.157128332117363545e-01
7.833422265326680511e-01,9.174745739378251663e-01
7.891806013575387579e-01,9.191956775802269108e-01
7.950189761824093537e-01,9.208771541211686618e-01
8.008573510072800605e-01,9.225199874186497118e-01
8.066957258321507673e-01,9.241251358649424930e-01
8.125341006570213631e-01,9.256935330318000199e-01
8.183724754818920699e-01,9.272260883023261124e-01
8.242108503067626657e-01,9.287236874894971850e-01
8.300492251316333725e-01,9.301871934413608045e-01
8.358875999565039683e-01,9.316174466329530945e-01
8.417259747813746751e-01,9.330152657450130338e-01
8.475643496062452709e-01,9.343814482295832446e-01
8.534027244311159777e-01,9.357167708626131786e-01
8.592410992559866845e-01,9.370219902836931514e-01
8.650794740808572802e-01,9.382978435230656666e-01
8.709178489057279871e-01,9.395450485160719012e-01
8.767562237305985828e-01,9.407643046052028835e-01
8.825945985554692896e-01,9.419562930299353321e-01
8.884329733803398854e-01,9.431216774045411144e-01
8.942713482052105922e-01,9.442611041840647257e-01
9.001097230300811880e-01,9.453752031186712923e-01
9.059480978549518948e-01,9.464645876965702698e-01
9.117864726798226016e-01,9.475298555757279972e-01
9.176248475046931974e-01,9.485715890045798293e-01
9.234632223295639042e-01,9.495903552319605589e-01
9.293015971544345000e-01,9.505867069064684038e-01
