T,SA
1.000000000000000021e-02,6.040337304870526669e-01
5.000000000000000278e-02,7.717825361138230811e-01
1.499999999999999944e-01,1.373745232292177487e+00
2.999999999999999889e-01,1.310803056298486702e+00
5.000000000000000000e-01,9.572265720667598732e-01
7.500000000000000000e-01,7.012300305080066964e-01
1.000000000000000000e+00,5.394771549766192997e-01
1.500000000000000000e+00,3.956172046067198411e-01
2.000000000000000000e+00,2.881683851282478281e-01
2.500000000000000000e+00,2.104058719731357885e-01
