Sa,Probability
1.000000000000000021e-03,6.933042308248696230e-24
5.308960817958318854e-03,5.948452580066170085e-13
9.617921635916636819e-03,6.265532993220590963e-10
1.392688245387495652e-02,2.824084574639599809e-08
1.823584327183327622e-02,3.509007058027679735e-07
2.254480408979159592e-02,2.194748143431305123e-06
2.685376490774991215e-02,9.018117471574409947e-06
3.116272572570823185e-02,2.799020583608138261e-05
3.547168654366655155e-02,7.120498969935265467e-05
3.978064736162487125e-02,1.563195243281498596e-04
4.408960817958319095e-02,3.065308818504742161e-04
4.839856899754151065e-02,5.499731681635325114e-04
5.270752981549982341e-02,9.186987555175088168e-04
5.701649063345814311e-02,1.447424774038734473e-03
6.132545145141646281e-02,2.172204633724535150e-03
6.563441226937478945e-02,3.129146970348823178e-03
6.994337308733310221e-02,4.353264726544747026e-03
7.425233390529141497e-02,5.877502168717457266e-03
7.856129472324974161e-02,7.731960185375647519e-03
8.287025554120805437e-02,9.943320430185286982e-03
8.717921635916638101e-02,1.253445580646223891e-02
9.148817717712469377e-02,1.552420707263934239e-02
9.579713799508302041e-02,1.892730160890198493e-02
1.001060988130413332e-01,2.275438942962184491e-02
1.044150596309996459e-01,2.701217239685837698e-02
1.087240204489579726e-01,3.170360456212734795e-02
1.130329812669162853e-01,3.682814411346684719e-02
1.173419420848746120e-01,4.238204017135296237e-02
1.216509029028329247e-01,4.835864042316552480e-02
1.259598637207912375e-01,5.474870816594932382e-02
1.302688245387495780e-01,6.154073966030982473e-02
1.345777853567078908e-01,6.872127474810071912e-02
1.388867461746662035e-01,7.627519544608013513e-02
1.431957069926245163e-01,8.418600870826314919e-02
1.475046678105828291e-01,9.243611077320634806e-02
1.518136286285411696e-01,1.010070315061577517e-01
1.561225894464994823e-01,1.098796579389226258e-01
1.604315502644577951e-01,1.190344368310451428e-01
1.647405110824161079e-01,1.284515565513268953e-01
1.690494719003744484e-01,1.381111089331840125e-01
1.733584327183327611e-01,1.479932320124787704e-01
1.776673935362910739e-01,1.580782347310406011e-01
1.819763543542493867e-01,1.683467047991798471e-01
1.862853151722076994e-01,1.787796009697219524e-01
1.905942759901660399e-01,1.893583309957705407e-01
1.949032368081243527e-01,2.000648165339722895e-01
1.992121976260826655e-01,2.108815462221802495e-01
2.035211584440409782e-01,2.217916181113328000e-01
2.078301192619992910e-01,2.327787725711024103e-01
2.121390800799576315e-01,2.438274167213826948e-01
2.164480408979159443e-01,2.549226413701098926e-01
2.207570017158742570e-01,2.660502313646594397e-01
2.250659625338325698e-01,2.771966701909674979e-01
2.293749233517909103e-01,2.883491395829743675e-01
2.336838841697492231e-01,2.994955148359523811e-01
2.379928449877075358e-01,3.106243564514833411e-01
2.423018058056658486e-01,3.217248986797202059e-01
