Sa,Probability
5.784007496064147436e-01,8.260994340731997454e-01
5.827097104243730286e-01,8.300189396257018348e-01
5.870186712423313136e-01,8.338531057555125248e-01
5.913276320602897096e-01,8.376035259534840849e-01
5.956365928782479946e-01,8.412717805473104438e-01
5.999455536962062796e-01,8.448594357050132064e-01
6.042545145141646756e-01,8.483680425257921209e-01
6.085634753321229606e-01,8.517991362134272881e-01
6.128724361500812456e-01,8.551542353276146979e-01
6.171813969680396417e-01,8.584348411088223996e-01
6.214903577859979267e-01,8.616424368724455718e-01
6.257993186039562117e-01,8.647784874682321599e-01
6.301082794219144967e-01,8.678444388011279376e-01
6.344172402398728927e-01,8.708417174098714852e-01
6.387262010578311777e-01,8.737717300998402159e-01
6.430351618757894627e-01,8.766358636268127835e-01
6.473441226937478588e-01,8.794354844284733019e-01
6.516530835117061438e-01,8.821719384006403430e-01
6.559620443296644288e-01,8.848465507153454590e-01
6.602710051476228248e-01,8.874606256780350755e-01
6.645799659655811098e-01,8.900154466213032745e-01
6.688889267835393948e-01,8.925122758326934358e-01
6.731978876014977908e-01,8.949523545142401559e-01
6.775068484194560758e-01,8.973369027715317747e-01
6.818158092374143608e-01,8.996671196302032936e-01
6.861247700553726458e-01,9.019441830778711644e-01
6.904337308733310419e-01,9.041692501296303419e-01
6.947426916912893269e-01,9.063434569153390186e-01
6.990516525092476119e-01,9.084679187870077222e-01
7.033606133272060079e-01,9.105437304447072666e-01
7.076695741451642929e-01,9.125719660794937571e-01
7.119785349631225779e-01,9.145536795319411105e-01
7.162874957810809740e-01,9.164899044649400528e-01
7.205964565990392590e-01,9.183816545495124828e-01
7.249054174169975440e-01,9.202299236624524870e-01
7.292143782349558290e-01,9.220356860946802291e-01
7.335233390529142250e-01,9.237998967692616636e-01
7.378322998708725100e-01,9.255234914681043090e-01
7.421412606888307950e-01,9.272073870664077067e-01
7.464502215067891910e-01,9.288524817739943762e-01
7.507591823247474760e-01,9.304596553827083616e-01
7.550681431427057611e-01,9.320297695191180898e-01
7.593771039606641571e-01,9.335636679018040063e-01
7.636860647786224421e-01,9.350621766025647430e-01
7.679950255965807271e-01,9.365261043109140981e-01
7.723039864145391231e-01,9.379562426012841847e-01
7.766129472324974081e-01,9.393533662023886288e-01
7.809219080504556931e-01,9.407182332682383352e-01
7.852308688684139781e-01,9.420515856503355323e-01
7.895398296863723742e-01,9.433541491706050053e-01
7.938487905043306592e-01,9.446266338946549546e-01
7.981577513222889442e-01,9.458697344049871170e-01
8.024667121402473402e-01,9.470841300738042090e-01
8.067756729582056252e-01,9.482704853350909513e-01
8.110846337761639102e-01,9.494294499556673594e-01
8.153935945941223062e-01,9.505616593049376339e-01
8.197025554120805912e-01,9.516677346230806300e-01
8.240115162300388763e-01,9.527482832874489826e-01
8.283204770479971613e-01,9.538038990769600600e-01
8.326294378659555573e-01,9.548351624342867883e-01
8.369383986839138423e-01,9.558426407256673807e-01
8.412473595018721273e-01,9.568268884981735445e-01
8.455563203198305233e-01,9.577884477342908376e-01
8.498652811377888083e-01,9.587278481036778377e-01
8.541742419557470933e-01,9.596456072119878833e-01
8.584832027737054894e-01,9.605422308466446957e-01
8.627921635916637744e-01,9.614182132194810659e-01
8.671011244096220594e-01,9.622740372061555636e-01
8.714100852275804554e-01,9.631101745822758797e-01
8.757190460455387404e-01,9.639270862561666320e-01
8.800280068634970254e-01,9.647252224982267865e-01
8.843369676814553104e-01,9.655050231668337313e-01
8.886459284994137064e-01,9.662669179307553646e-01
8.929548893173719915e-01,9.670113264880410009e-01
8.972638501353302765e-01,9.677386587813686658e-01
9.015728109532886725e-01,9.684493152098325730e-01
9.058817717712469575e-01,9.691436868371595681e-01
9.101907325892052425e-01,9.698221555963503215e-01
9.144996934071636385e-01,9.704850944907457144e-01
9.188086542251219235e-01,9.711328677915220808e-01
9.231176150430802085e-01,9.717658312316267422e-01
9.274265758610386046e-01,9.723843321961648245e-01
9.317355366789968896e-01,9.729887099092561220e-01
9.360444974969551746e-01,9.735792956173818791e-01
9.403534583149134596e-01,9.741564127692446950e-01
9.446624191328718556e-01,9.747203771921687521e-01
9.489713799508301406e-01,9.752714972650688985e-01
9.532803407687884256e-01,9.758100740880197854e-01
9.575893015867468216e-01,9.763364016484593622e-01
9.618982624047051067e-01,9.768507669840619245e-01
9.662072232226633917e-01,9.773534503423170205e-01
9.705161840406217877e-01,9.778447253368550696e-01
9.748251448585800727e-01,9.783248591005581085e-01
9.791341056765383577e-01,9.787941124354976319e-01
9.834430664944966427e-01,9.792527399597430460e-01
9.877520273124550387e-01,9.797009902510823709e-01
9.920609881304133237e-01,9.801391059877015977e-01
9.963699489483716087e-01,9.805673240858663320e-01
1.000678909766330005e+00,9.809858758346515772e-01
1.004987870584288068e+00,9.813949870277661747e-01
1.009296831402246575e+00,9.817948780925184193e-01
1.013605792220204860e+00,9.821857642159689261e-01
1.017914753038163145e+00,9.825678554683181520e-01
1.022223713856121430e+00,9.829413569235759818e-01
1.026532674674079715e+00,9.833064687775603385e-01
1.030841635492038000e+00,9.836633864632713387e-01
1.035150596309996507e+00,9.840123007636890629e-01
1.039459557127954792e+00,9.843533979220412400e-01
1.043768517945913077e+00,9.846868597495882502e-01
1.048077478763871362e+00,9.850128637309701896e-01
1.052386439581829647e+00,9.853315831271651781e-01
1.056695400399787932e+00,9.856431870761021008e-01
1.061004361217746217e+00,9.859478406909747417e-01
1.065313322035704724e+00,9.862457051563020549e-01
1.069622282853663009e+00,9.865369378217795360e-01
1.073931243671621294e+00,9.868216922939658797e-01
1.078240204489579579e+00,9.871001185258483357e-01
1.082549165307537864e+00,9.873723629043308359e-01
1.086858126125496149e+00,9.876385683356873058e-01
1.091167086943454656e+00,9.878988743290220143e-01
1.095476047761412941e+00,9.881534170777790393e-01
1.099785008579371226e+00,9.884023295393427055e-01
1.104093969397329511e+00,9.886457415127676285e-01
1.108402930215287796e+00,9.888837797146807773e-01
1.112711891033246081e+00,9.891165678533923034e-01
1.117020851851204366e+00,9.893442267012561020e-01
1.121329812669162873e+00,9.895668741653170786e-01
1.125638773487121158e+00,9.897846253562830876e-01
1.129947734305079443e+00,9.899975926558577388e-01
1.134256695123037728e+00,9.902058857824708182e-01
1.138565655940996013e+00,9.904096118554432948e-01
1.142874616758954298e+00,9.906088754576183320e-01
1.147183577576912805e+00,9.908037786964973836e-01
1.151492538394871090e+00,9.909944212639107963e-01
1.155801499212829375e+00,9.911809004942592205e-01
1.160110460030787660e+00,9.913633114213564745e-01
1.164419420848745945e+00,9.915417468339068341e-01
1.168728381666704230e+00,9.917162973296472783e-01
1.173037342484662515e+00,9.918870513681862233e-01
1.177346303302621022e+00,9.920540953225674974e-01
1.181655264120579307e+00,9.922175135295909776e-01
1.185964224938537592e+00,9.923773883389167549e-01
1.190273185756495877e+00,9.925338001609823602e-01
1.194582146574454162e+00,9.926868275137610276e-01
1.198891107392412447e+00,9.928365470683868654e-01
1.203200068210370954e+00,9.929830336936743551e-01
1.207509029028329239e+00,9.931263604995589356e-01
1.211817989846287524e+00,9.932665988794825429e-01
1.216126950664245809e+00,9.934038185517498620e-01
1.220435911482204094e+00,9.935380875998803818e-01
1.224744872300162379e+00,9.936694725119790128e-01
1.229053833118120664e+00,9.937980382191489159e-01
1.233362793936079171e+00,9.939238481329700781e-01
1.237671754754037456e+00,9.940469641820647295e-01
1.241980715571995741e+00,9.941674468477731397e-01
1.246289676389954026e+00,9.942853551989595529e-01
1.250598637207912311e+00,9.944007469259695808e-01
1.254907598025870596e+00,9.945136783737607011e-01
1.259216558843828881e+00,9.946242045742236249e-01
1.263525519661787389e+00,9.947323792777166274e-01
1.267834480479745674e+00,9.948382549838290512e-01
1.272143441297703959e+00,9.949418829713950752e-01
1.276452402115662244e+00,9.950433133277747366e-01
1.280761362933620529e+00,9.951425949774203028e-01
1.285070323751578814e+00,9.952397757097452002e-01
1.289379284569537321e+00,9.953349022063119333e-01
