Sa,Probability
1.000000000000000021e-03,2.107413356774679768e-34
5.308960817958318854e-03,8.852850044592234908e-19
9.617921635916636819e-03,2.026418112190499028e-14
1.392688245387495652e-02,5.073318389127131224e-12
1.823584327183327622e-02,1.991202853451001743e-10
2.254480408979159592e-02,2.904260165719672227e-09
2.685376490774991215e-02,2.307652637934939301e-08
3.116272572570823185e-02,1.221183262552366763e-07
3.547168654366655155e-02,4.841526521584094971e-07
3.978064736162487125e-02,1.549158623517167048e-06
4.408960817958319095e-02,4.204873514870065917e-06
4.839856899754151065e-02,1.002492742257308903e-05
5.270752981549982341e-02,2.152970442145382896e-05
5.701649063345814311e-02,4.244150776770516344e-05
6.132545145141646281e-02,7.790663574016985391e-05
6.563441226937478945e-02,1.346623026035896934e-04
6.994337308733310221e-02,2.211339008720602031e-04
7.425233390529141497e-02,3.474561006444850980e-04
7.856129472324974161e-02,5.254184704101875179e-04
8.287025554120805437e-02,7.683419937923008066e-04
8.717921635916638101e-02,1.090896810759938622e-03
9.148817717712469377e-02,1.508873797516883030e-03
9.579713799508302041e-02,2.038923457781193372e-03
1.001060988130413332e-01,2.698275344423452411e-03
1.044150596309996459e-01,3.504450186439332822e-03
1.087240204489579726e-01,4.474975352315373883e-03
1.130329812669162853e-01,5.627112477245202644e-03
1.173419420848746120e-01,6.977604203587618216e-03
1.216509029028329247e-01,8.542445164661226567e-03
1.259598637207912375e-01,1.033668066977872294e-02
1.302688245387495780e-01,1.237423507534678516e-02
1.345777853567078908e-01,1.466777057710373124e-02
1.388867461746662035e-01,1.722857613617034128e-02
1.431957069926245163e-01,2.006648544682542237e-02
1.475046678105828291e-01,2.318982224838894365e-02
1.518136286285411696e-01,2.660537085412994704e-02
1.561225894464994823e-01,3.031836949158433006e-02
1.604315502644577951e-01,3.433252389598388798e-02
1.647405110824161079e-01,3.865003854787953108e-02
1.690494719003744484e-01,4.327166297582892701e-02
1.733584327183327611e-01,4.819675063604539345e-02
1.776673935362910739e-01,5.342332801664984032e-02
1.819763543542493867e-01,5.894817178071217606e-02
1.862853151722076994e-01,6.476689194812100536e-02
1.905942759901660399e-01,7.087401931222019058e-02
1.949032368081243527e-01,7.726309548576833219e-02
1.992121976260826655e-01,8.392676416650818316e-02
2.035211584440409782e-01,9.085686240127088809e-02
2.078301192619992910e-01,9.804451080611037428e-02
2.121390800799576315e-01,1.054802018664474095e-01
2.164480408979159443e-01,1.131538855943816646e-01
2.207570017158742570e-01,1.210550519596071406e-01
2.250659625338325698e-01,1.291728096356352107e-01
2.293749233517909103e-01,1.374959607145280205e-01
2.336838841697492231e-01,1.460130711416107729e-01
2.379928449877075358e-01,1.547125367073588498e-01
2.423018058056658486e-01,1.635826445076783986e-01
2.466107666236241613e-01,1.726116298470282140e-01
2.509197274415824741e-01,1.817877286121869496e-01
2.552286882595408146e-01,1.910992251889109816e-01
2.595376490774991551e-01,2.005344960301506108e-01
2.638466098954574401e-01,2.100820490138056162e-01
2.681555707134157807e-01,2.197305587510070546e-01
2.724645315313740657e-01,2.294688980234196318e-01
2.767734923493324062e-01,2.392861655407785837e-01
2.810824531672907467e-01,2.491717102184477506e-01
2.853914139852490317e-01,2.591151521798495949e-01
2.897003748032073722e-01,2.691064006906783712e-01
2.940093356211656572e-01,2.791356692313587962e-01
2.983182964391239977e-01,2.891934879117027402e-01
3.026272572570823383e-01,2.992707134274897873e-01
3.069362180750406233e-01,3.093585367531270780e-01
3.112451788929989638e-01,3.194484887578875609e-01
3.155541397109572488e-01,3.295324439257594218e-01
3.198631005289155893e-01,3.396026223508717967e-01
3.241720613468739298e-01,3.496515901719767783e-01
3.284810221648322148e-01,3.596722586007284894e-01
3.327899829827905553e-01,3.696578816896429753e-01
3.370989438007488959e-01,3.796020529767452079e-01
3.414079046187071809e-01,3.894987011351271344e-01
3.457168654366655214e-01,3.993420847470003365e-01
3.500258262546238064e-01,4.091267863134132599e-01
3.543347870725821469e-01,4.188477056026544409e-01
3.586437478905404874e-01,4.285000524325022209e-01
3.629527087084987724e-01,4.380793389739683907e-01
3.672616695264571129e-01,4.475813716569992384e-01
3.715706303444153979e-01,4.570022427517786978e-01
3.758795911623737385e-01,4.663383216928302377e-01
3.801885519803320790e-01,4.755862462070199470e-01
3.844975127982903640e-01,4.847429133008465674e-01
3.888064736162487045e-01,4.938054701570356309e-01
3.931154344342069895e-01,5.027713049854417582e-01
3.974243952521653300e-01,5.116380378685916330e-01
4.017333560701236705e-01,5.204035116378525894e-01
4.060423168880819556e-01,5.290657828121793083e-01
4.103512777060402961e-01,5.376231126276717065e-01
4.146602385239985811e-01,5.460739581827219746e-01
4.189691993419569216e-01,5.544169637203768541e-01
4.232781601599152621e-01,5.626509520666150843e-01
4.275871209778735471e-01,5.707749162405858501e-01
4.318960817958318876e-01,5.787880112504070196e-01
4.362050426137902281e-01,5.866895460859031797e-01
4.405140034317485132e-01,5.944789759176387633e-01
4.448229642497068537e-01,6.021558945097683635e-01
