MIDR_x,MIDR_y,Sa_x,Sa_y,T1_x,T1_y,max_roof_disp_x,max_roof_disp_y,GM
0.010698233333333333,0.018320600000000003,0.4026597316663665,0.3231845613652765,0.8577125103975517,0.9770077800664774,0.0823491,0.10756,GM_1
0.043394999999999996,0.02312833333333333,0.8170565491447269,0.5587098153208281,0.8577125103975517,0.9770077800664774,0.355463,0.182071,GM_2
0.01904516666666667,0.023979,0.7032017855084182,0.5619285735949472,0.8577125103975517,0.9770077800664774,0.152227,0.184759,GM_3
0.006468499999999999,0.009105933333333332,0.25786243171155643,0.2281064553133082,0.8577125103975517,0.9770077800664774,0.0478093,0.0603421,GM_4
0.026488999999999995,0.012365999999999997,0.7284757311540805,0.18099225755707246,0.8577125103975517,0.9770077800664774,0.215601,0.081165,GM_5
0.005830133333333334,0.03378966666666666,0.22086718907702985,0.6431891768399464,0.8577125103975517,0.9770077800664774,0.0441497,0.228179,GM_6
0.0162689,0.026186666666666664,0.43016972541157156,0.6445847451988582,0.8577125103975517,0.9770077800664774,0.134702,0.206746,GM_7
0.013787333333333334,0.03180366666666667,0.2894376081881207,0.40759110039677976,0.8577125103975517,0.9770077800664774,0.111993,0.267367,GM_8
0.0109879,0.015050366666666667,0.38537535464023936,0.4352430516004921,0.8577125103975517,0.9770077800664774,0.0829758,0.112405,GM_9
0.002025043333333333,0.006687633333333334,0.05313711520927605,0.10501063952244498,0.8577125103975517,0.9770077800664774,0.0129964,0.0481347,GM_10
0.011473766666666664,0.010854566666666668,0.2767202808044668,0.25146594687484636,0.8577125103975517,0.9770077800664774,0.0876952,0.0784341,GM_11
0.0183777,0.017255866666666664,0.37845966762078487,0.5028633938229551,0.8577125103975517,0.9770077800664774,0.14616,0.127087,GM_12
0.019588066666666668,0.02830876666666667,0.36764100539780614,0.35173224275727655,0.8577125103975517,0.9770077800664774,0.163991,0.240129,GM_13
0.011487533333333333,0.011828266666666665,0.3078731064889209,0.34779846219147836,0.8577125103975517,0.9770077800664774,0.089403,0.0868972,GM_14
0.0051577,0.0088536,0.19163487953848715,0.23254011552330034,0.8577125103975517,0.9770077800664774,0.0366036,0.0518155,GM_15
0.007149699999999999,0.0075777,0.22374187823976194,0.17167545936676618,0.8577125103975517,0.9770077800664774,0.0536805,0.0566133,GM_16
0.0053818,0.0119161,0.12059548310393686,0.16847121628645173,0.8577125103975517,0.9770077800664774,0.0413076,0.0711002,GM_17
0.01161723333333333,0.009798533333333331,0.47579115862079646,0.23659340086082856,0.8577125103975517,0.9770077800664774,0.0746214,0.0731219,GM_18
0.036182,0.05485566666666667,0.34523792171405265,0.845632559200823,0.8577125103975517,0.9770077800664774,0.311689,0.475231,GM_19
0.0077114,0.008424533333333333,0.26536144018818053,0.3163718460066182,0.8577125103975517,0.9770077800664774,0.0584751,0.0636066,GM_20
0.0174207,0.013806133333333331,0.4509984202437089,0.3062815804022934,0.8577125103975517,0.9770077800664774,0.139333,0.0987228,GM_21
0.014511700000000002,0.013807266666666667,0.5387397838243979,0.3387487393304453,0.8577125103975517,0.9770077800664774,0.110584,0.100923,GM_22
0.029909666666666668,0.028461100000000003,1.4555617271969388,1.074482737141281,0.8577125103975517,0.9770077800664774,0.210505,0.185091,GM_23
0.011732233333333333,0.017361,0.23348786483317702,0.2849666014465043,0.8577125103975517,0.9770077800664774,0.0928101,0.140023,GM_24
0.0367335,0.03254633333333334,0.885519871752405,0.9796972992449942,0.8577125103975517,0.9770077800664774,0.312454,0.221556,GM_25
0.016671099999999998,0.0207693,0.3011388868731982,0.21715119109492056,0.8577125103975517,0.9770077800664774,0.137314,0.17371,GM_26
0.00448907,0.007638233333333334,0.15205715586177582,0.17065916605720877,0.8577125103975517,0.9770077800664774,0.033391,0.0487261,GM_27
0.006580300000000001,0.007744433333333334,0.1256035770909054,0.12424136550417739,0.8577125103975517,0.9770077800664774,0.0480196,0.054701,GM_28
0.007411866666666667,0.012766133333333334,0.31591704895041284,0.31076204084397635,0.8577125103975517,0.9770077800664774,0.0557445,0.095189,GM_29
0.025350433333333335,0.017208199999999996,0.47789072667950144,0.3623248876114169,0.8577125103975517,0.9770077800664774,0.211997,0.141797,GM_30
0.003721613333333334,0.010695999999999997,0.10951977161197694,0.22322055563316648,0.8577125103975517,0.9770077800664774,0.027357,0.0822417,GM_31
0.0121982,0.007086933333333332,0.2484503262149656,0.12155457037776236,0.8577125103975517,0.9770077800664774,0.0882038,0.0399005,GM_32
0.010040333333333333,0.014754033333333333,0.30627542407793534,0.3381725643277509,0.8577125103975517,0.9770077800664774,0.0772229,0.107259,GM_33
